gene_id,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
AlixG041862,SPU_026803,0.0,2023.0,"2D1AE@1|root,2SHBM@2759|Eukaryota,3AFP7@33154|Opisthokonta,3BY0Y@33208|Metazoa,3DET1@33213|Bilateria",33208|Metazoa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"DUF1759,Peptidase_A17"
AlixG041864,SPU_023575,6.39e-198,562.0,"KOG3689@1|root,KOG3689@2759|Eukaryota,38BQB@33154|Opisthokonta,3B9XB@33208|Metazoa,3CSEF@33213|Bilateria",33208|Metazoa,T,"3',5'-cyclic-GMP phosphodiesterase activity",PDE5A,"GO:0000166,GO:0001666,GO:0001932,GO:0001934,GO:0002026,GO:0002237,GO:0002676,GO:0002678,GO:0002682,GO:0002683,GO:0002694,GO:0002695,GO:0003008,GO:0003012,GO:0003013,GO:0003018,GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006195,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006937,GO:0006942,GO:0006950,GO:0007162,GO:0007275,GO:0007399,GO:0007610,GO:0007611,GO:0007613,GO:0007614,GO:0008015,GO:0008016,GO:0008081,GO:0008150,GO:0008152,GO:0008277,GO:0008285,GO:0009056,GO:0009058,GO:0009117,GO:0009150,GO:0009154,GO:0009166,GO:0009187,GO:0009214,GO:0009259,GO:0009261,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009719,GO:0009725,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010562,GO:0010604,GO:0010611,GO:0010613,GO:0010646,GO:0010647,GO:0010720,GO:0010941,GO:0010942,GO:0014070,GO:0014742,GO:0014743,GO:0016787,GO:0016788,GO:0017076,GO:0018130,GO:0019001,GO:0019220,GO:0019222,GO:0019229,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0022407,GO:0022408,GO:0023051,GO:0023056,GO:0030155,GO:0030551,GO:0030553,GO:0031323,GO:0031325,GO:0031347,GO:0031349,GO:0031399,GO:0031401,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0032496,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032561,GO:0032944,GO:0032945,GO:0033574,GO:0033674,GO:0033993,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035150,GO:0035296,GO:0036094,GO:0036293,GO:0042127,GO:0042129,GO:0042130,GO:0042221,GO:0042311,GO:0042325,GO:0042327,GO:0042578,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043168,GO:0043207,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043502,GO:0043549,GO:0043900,GO:0043902,GO:0044057,GO:0044093,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0045595,GO:0045597,GO:0045745,GO:0045822,GO:0045859,GO:0045860,GO:0045907,GO:0045932,GO:0045937,GO:0045988,GO:0046068,GO:0046069,GO:0046434,GO:0046483,GO:0046700,GO:0047555,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0050670,GO:0050672,GO:0050727,GO:0050729,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050863,GO:0050865,GO:0050866,GO:0050868,GO:0050877,GO:0050880,GO:0050890,GO:0050896,GO:0051094,GO:0051171,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051249,GO:0051250,GO:0051338,GO:0051347,GO:0051704,GO:0051707,GO:0055086,GO:0055117,GO:0055118,GO:0055119,GO:0060255,GO:0060281,GO:0060282,GO:0060284,GO:0065007,GO:0065008,GO:0065009,GO:0070482,GO:0070663,GO:0070664,GO:0071704,GO:0071900,GO:0071902,GO:0072521,GO:0072523,GO:0080090,GO:0080134,GO:0090066,GO:0090075,GO:0090257,GO:0097159,GO:0097367,GO:0097746,GO:0097755,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901654,GO:1901700,GO:1902531,GO:1902533,GO:1903037,GO:1903038,GO:1903522,GO:1903523,GO:1903524,GO:1905879,GO:1905881,GO:2000241,GO:2000243","3.1.4.17,3.1.4.35","ko:K13298,ko:K13762","ko00230,ko04022,ko04934,ko05032,map00230,map04022,map04934,map05032",-,"R00191,R01234",RC00296,"ko00000,ko00001,ko01000",-,-,-,"GAF,PDEase_I"
AlixG041870,SPU_009833,2.93e-156,446.0,"KOG3689@1|root,KOG3689@2759|Eukaryota,38BQB@33154|Opisthokonta,3B9XB@33208|Metazoa,3CSEF@33213|Bilateria",33208|Metazoa,T,"3',5'-cyclic-GMP phosphodiesterase activity",PDE5A,"GO:0000166,GO:0001666,GO:0001932,GO:0001934,GO:0002026,GO:0002237,GO:0002676,GO:0002678,GO:0002682,GO:0002683,GO:0002694,GO:0002695,GO:0003008,GO:0003012,GO:0003013,GO:0003018,GO:0003674,GO:0003824,GO:0004112,GO:0004114,GO:0004115,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006195,GO:0006725,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006937,GO:0006942,GO:0006950,GO:0007162,GO:0007275,GO:0007399,GO:0007610,GO:0007611,GO:0007613,GO:0007614,GO:0008015,GO:0008016,GO:0008081,GO:0008150,GO:0008152,GO:0008277,GO:0008285,GO:0009056,GO:0009058,GO:0009117,GO:0009150,GO:0009154,GO:0009166,GO:0009187,GO:0009214,GO:0009259,GO:0009261,GO:0009605,GO:0009607,GO:0009617,GO:0009628,GO:0009719,GO:0009725,GO:0009893,GO:0009966,GO:0009967,GO:0009987,GO:0010033,GO:0010562,GO:0010604,GO:0010611,GO:0010613,GO:0010646,GO:0010647,GO:0010720,GO:0010941,GO:0010942,GO:0014070,GO:0014742,GO:0014743,GO:0016787,GO:0016788,GO:0017076,GO:0018130,GO:0019001,GO:0019220,GO:0019222,GO:0019229,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0022407,GO:0022408,GO:0023051,GO:0023056,GO:0030155,GO:0030551,GO:0030553,GO:0031323,GO:0031325,GO:0031347,GO:0031349,GO:0031399,GO:0031401,GO:0032101,GO:0032103,GO:0032268,GO:0032270,GO:0032496,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032561,GO:0032944,GO:0032945,GO:0033574,GO:0033674,GO:0033993,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0035150,GO:0035296,GO:0036094,GO:0036293,GO:0042127,GO:0042129,GO:0042130,GO:0042221,GO:0042311,GO:0042325,GO:0042327,GO:0042578,GO:0042981,GO:0043065,GO:0043067,GO:0043068,GO:0043085,GO:0043167,GO:0043168,GO:0043207,GO:0043405,GO:0043406,GO:0043408,GO:0043410,GO:0043502,GO:0043549,GO:0043900,GO:0043902,GO:0044057,GO:0044093,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0045595,GO:0045597,GO:0045745,GO:0045822,GO:0045859,GO:0045860,GO:0045907,GO:0045932,GO:0045937,GO:0045988,GO:0046058,GO:0046068,GO:0046069,GO:0046434,GO:0046483,GO:0046700,GO:0047555,GO:0048518,GO:0048519,GO:0048522,GO:0048523,GO:0048583,GO:0048584,GO:0048731,GO:0048856,GO:0050670,GO:0050672,GO:0050727,GO:0050729,GO:0050789,GO:0050790,GO:0050793,GO:0050794,GO:0050863,GO:0050865,GO:0050866,GO:0050868,GO:0050877,GO:0050880,GO:0050890,GO:0050896,GO:0051094,GO:0051171,GO:0051173,GO:0051174,GO:0051239,GO:0051240,GO:0051241,GO:0051246,GO:0051247,GO:0051249,GO:0051250,GO:0051338,GO:0051347,GO:0051704,GO:0051707,GO:0055086,GO:0055117,GO:0055118,GO:0055119,GO:0060255,GO:0060281,GO:0060282,GO:0060284,GO:0065007,GO:0065008,GO:0065009,GO:0070482,GO:0070663,GO:0070664,GO:0071704,GO:0071900,GO:0071902,GO:0072521,GO:0072523,GO:0080090,GO:0080134,GO:0090066,GO:0090075,GO:0090257,GO:0097159,GO:0097367,GO:0097746,GO:0097755,GO:1901135,GO:1901136,GO:1901265,GO:1901292,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901565,GO:1901575,GO:1901576,GO:1901654,GO:1901700,GO:1902531,GO:1902533,GO:1903037,GO:1903038,GO:1903522,GO:1903523,GO:1903524,GO:1905879,GO:1905881,GO:2000241,GO:2000243","3.1.4.17,3.1.4.35","ko:K13298,ko:K13762","ko00230,ko04022,ko04934,ko05032,map00230,map04022,map04934,map05032",-,"R00191,R01234",RC00296,"ko00000,ko00001,ko01000",-,-,-,"GAF,PDEase_I"
AlixG041874,SPU_007317,0.0,1234.0,"KOG3714@1|root,KOG3714@2759|Eukaryota,38H9H@33154|Opisthokonta,3BFXI@33208|Metazoa,3CRSI@33213|Bilateria",33208|Metazoa,O,bone morphogenetic protein,BMP1,"GO:0000003,GO:0000578,GO:0000902,GO:0000904,GO:0001501,GO:0001502,GO:0001568,GO:0001703,GO:0001704,GO:0001707,GO:0001885,GO:0001944,GO:0002009,GO:0002064,GO:0002165,GO:0002376,GO:0002520,GO:0003002,GO:0003006,GO:0003158,GO:0003674,GO:0003824,GO:0004175,GO:0004222,GO:0004252,GO:0005488,GO:0005515,GO:0005518,GO:0005575,GO:0005576,GO:0006355,GO:0006357,GO:0006508,GO:0006807,GO:0006928,GO:0006935,GO:0007154,GO:0007165,GO:0007166,GO:0007167,GO:0007169,GO:0007275,GO:0007276,GO:0007281,GO:0007292,GO:0007308,GO:0007309,GO:0007310,GO:0007313,GO:0007350,GO:0007351,GO:0007354,GO:0007362,GO:0007369,GO:0007378,GO:0007389,GO:0007399,GO:0007409,GO:0007411,GO:0007414,GO:0007415,GO:0007444,GO:0007472,GO:0007476,GO:0007498,GO:0007552,GO:0007560,GO:0008037,GO:0008038,GO:0008045,GO:0008150,GO:0008152,GO:0008233,GO:0008236,GO:0008237,GO:0008293,GO:0008586,GO:0008595,GO:0009605,GO:0009653,GO:0009790,GO:0009791,GO:0009798,GO:0009799,GO:0009855,GO:0009880,GO:0009886,GO:0009887,GO:0009888,GO:0009889,GO:0009892,GO:0009948,GO:0009950,GO:0009952,GO:0009953,GO:0009966,GO:0009967,GO:0009987,GO:0009994,GO:0010004,GO:0010467,GO:0010468,GO:0010556,GO:0010605,GO:0010629,GO:0010646,GO:0010647,GO:0016043,GO:0016202,GO:0016485,GO:0016787,GO:0017015,GO:0017171,GO:0019219,GO:0019222,GO:0019538,GO:0019953,GO:0021700,GO:0022008,GO:0022411,GO:0022412,GO:0022414,GO:0022607,GO:0022617,GO:0023051,GO:0023052,GO:0023056,GO:0030030,GO:0030097,GO:0030154,GO:0030182,GO:0030198,GO:0030510,GO:0030513,GO:0030855,GO:0031175,GO:0031323,GO:0031326,GO:0031982,GO:0032501,GO:0032502,GO:0032504,GO:0032989,GO:0032990,GO:0033333,GO:0033334,GO:0033336,GO:0033338,GO:0034377,GO:0034380,GO:0035107,GO:0035113,GO:0035114,GO:0035120,GO:0035122,GO:0035124,GO:0035141,GO:0035143,GO:0035162,GO:0035220,GO:0035239,GO:0035282,GO:0035295,GO:0036342,GO:0040008,GO:0040011,GO:0042221,GO:0042330,GO:0042802,GO:0043062,GO:0043170,GO:0043226,GO:0043227,GO:0043933,GO:0044085,GO:0044238,GO:0044703,GO:0044877,GO:0045446,GO:0045843,GO:0045926,GO:0048262,GO:0048264,GO:0048332,GO:0048468,GO:0048469,GO:0048477,GO:0048513,GO:0048518,GO:0048519,GO:0048522,GO:0048534,GO:0048563,GO:0048568,GO:0048569,GO:0048583,GO:0048584,GO:0048598,GO:0048599,GO:0048609,GO:0048631,GO:0048632,GO:0048634,GO:0048635,GO:0048638,GO:0048640,GO:0048641,GO:0048642,GO:0048646,GO:0048666,GO:0048667,GO:0048699,GO:0048705,GO:0048707,GO:0048729,GO:0048731,GO:0048736,GO:0048737,GO:0048812,GO:0048856,GO:0048858,GO:0048869,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051093,GO:0051094,GO:0051171,GO:0051216,GO:0051239,GO:0051240,GO:0051241,GO:0051252,GO:0051604,GO:0051704,GO:0051716,GO:0060255,GO:0060429,GO:0060562,GO:0061035,GO:0061036,GO:0061448,GO:0061564,GO:0065003,GO:0065005,GO:0065007,GO:0070011,GO:0071704,GO:0071825,GO:0071827,GO:0071840,GO:0072358,GO:0072359,GO:0080090,GO:0090092,GO:0090100,GO:0090287,GO:0097006,GO:0097485,GO:0098743,GO:0120036,GO:0120039,GO:0140096,GO:1901564,GO:1901861,GO:1901862,GO:1903506,GO:1903844,GO:2000026,GO:2000112,GO:2001141","3.4.24.19,3.4.24.21","ko:K05502,ko:K08076,ko:K09608,ko:K13045,ko:K13046,ko:K13047",-,-,-,-,"ko00000,ko01000,ko01002,ko04052",-,-,-,"Astacin,CUB,EGF_CA,FXa_inhibition"
AlixG041900,SPU_023057,2.89e-35,139.0,"KOG4651@1|root,KOG4651@2759|Eukaryota,38CH1@33154|Opisthokonta,3BGMN@33208|Metazoa,3CYG1@33213|Bilateria",33208|Metazoa,G,N-acetylgalactosamine 4-O-sulfotransferase activity,-,-,"2.8.2.35,2.8.2.5","ko:K07779,ko:K08105","ko00532,map00532",-,"R02180,R10873","RC00007,RC00231","ko00000,ko00001,ko01000,ko01003",-,-,-,Sulfotransfer_2
AlixG041903,SPU_002713,5.18e-230,644.0,"KOG2619@1|root,KOG2619@2759|Eukaryota,38F5V@33154|Opisthokonta,3B9CA@33208|Metazoa,3CZV4@33213|Bilateria",33208|Metazoa,G,alpha-(1->3)-fucosyltransferase activity,FUT10,"GO:0000003,GO:0000139,GO:0002376,GO:0002520,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005783,GO:0005794,GO:0005975,GO:0005996,GO:0006004,GO:0006457,GO:0006464,GO:0006486,GO:0006605,GO:0006807,GO:0006810,GO:0006886,GO:0006928,GO:0006950,GO:0007275,GO:0007399,GO:0007417,GO:0007420,GO:0008104,GO:0008150,GO:0008152,GO:0008417,GO:0009056,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009566,GO:0009611,GO:0009987,GO:0012505,GO:0015031,GO:0015833,GO:0016020,GO:0016052,GO:0016477,GO:0016740,GO:0016757,GO:0016758,GO:0019317,GO:0019318,GO:0019320,GO:0019538,GO:0019827,GO:0019953,GO:0021537,GO:0021543,GO:0021795,GO:0021799,GO:0021885,GO:0021987,GO:0022029,GO:0022414,GO:0030097,GO:0030900,GO:0031090,GO:0031974,GO:0031981,GO:0031984,GO:0032501,GO:0032502,GO:0033036,GO:0034613,GO:0034645,GO:0036065,GO:0036211,GO:0040011,GO:0042060,GO:0042354,GO:0042355,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043412,GO:0043413,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044282,GO:0044422,GO:0044424,GO:0044428,GO:0044431,GO:0044444,GO:0044446,GO:0044464,GO:0044703,GO:0045184,GO:0046365,GO:0046907,GO:0046920,GO:0048513,GO:0048534,GO:0048731,GO:0048856,GO:0048870,GO:0050896,GO:0051179,GO:0051234,GO:0051641,GO:0051649,GO:0051674,GO:0051704,GO:0060322,GO:0070013,GO:0070085,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0097150,GO:0098588,GO:0098727,GO:0098791,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901575,GO:1901576",-,"ko:K09669,ko:K11257",-,-,-,-,"ko00000,ko01000,ko01003",-,GT10,-,"Glyco_tran_10_N,Glyco_transf_10"
AlixG041913,SPU_027233,4.46e-72,221.0,"28JGS@1|root,2QRVW@2759|Eukaryota,38GK5@33154|Opisthokonta,3BGEQ@33208|Metazoa,3CSDX@33213|Bilateria",33208|Metazoa,S,zinc ion binding,ZCCHC24,-,-,-,-,-,-,-,-,-,-,-,"zf-3CxxC_2,zf-CCHC_2"
AlixG041923,SPU_028501,2.47e-144,474.0,"KOG1216@1|root,KOG1217@1|root,KOG1216@2759|Eukaryota,KOG1217@2759|Eukaryota,3AGCD@33154|Opisthokonta,3BYTT@33208|Metazoa,3DDX8@33213|Bilateria",33208|Metazoa,TVW,Four-disulfide core domains,-,-,-,-,-,-,-,-,-,-,-,-,"Antistasin,VWC,WAP"
AlixG041929,SPU_006409,5.78e-24,114.0,"KOG1216@1|root,KOG1216@2759|Eukaryota,390SJ@33154|Opisthokonta,3CMXC@33208|Metazoa,3DK0Q@33213|Bilateria",33208|Metazoa,VW,Antistasin family,-,-,-,-,-,-,-,-,-,-,-,-,Antistasin
AlixG041930,SPU_001136,2.65e-213,614.0,"28PUT@1|root,2QWHD@2759|Eukaryota,38EA4@33154|Opisthokonta,3BMU4@33208|Metazoa,3CZSB@33213|Bilateria",33208|Metazoa,S,Transposase IS4,pgbd4,-,-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_1_7,Tnp_zf-ribbon_2"
AlixG041937,SPU_014740,7.97e-117,344.0,"2CY1N@1|root,2S1C2@2759|Eukaryota,3A4T1@33154|Opisthokonta,3BRGB@33208|Metazoa,3D8WT@33213|Bilateria",33208|Metazoa,S,YHYH protein,-,-,-,-,-,-,-,-,-,-,-,-,YHYH
AlixG041938,SPU_014738,2.19e-121,358.0,"2CY1N@1|root,2S1C2@2759|Eukaryota,3A4T1@33154|Opisthokonta,3BRGB@33208|Metazoa,3D8WT@33213|Bilateria",33208|Metazoa,S,YHYH protein,-,-,-,-,-,-,-,-,-,-,-,-,YHYH
AlixG041939,SPU_014739,1.3e-120,368.0,"2CY1N@1|root,2S1C2@2759|Eukaryota,3A4T1@33154|Opisthokonta,3BRGB@33208|Metazoa,3D8WT@33213|Bilateria",33208|Metazoa,S,YHYH protein,-,-,-,-,-,-,-,-,-,-,-,-,YHYH
AlixG041940,SPU_028132,1.2e-165,475.0,"KOG1028@1|root,KOG1028@2759|Eukaryota,39SP6@33154|Opisthokonta,3B993@33208|Metazoa,3CWKP@33213|Bilateria",33208|Metazoa,TU,calcium ion-regulated exocytosis of neurotransmitter,SYT15,"GO:0000149,GO:0001505,GO:0003674,GO:0005488,GO:0005509,GO:0005515,GO:0005543,GO:0005544,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006836,GO:0006887,GO:0006906,GO:0006996,GO:0007154,GO:0007267,GO:0007268,GO:0007269,GO:0008150,GO:0008289,GO:0009987,GO:0016020,GO:0016043,GO:0016050,GO:0016079,GO:0016192,GO:0017156,GO:0017157,GO:0017158,GO:0019898,GO:0019905,GO:0023052,GO:0023061,GO:0030276,GO:0032879,GO:0032940,GO:0043167,GO:0043168,GO:0043169,GO:0044425,GO:0044464,GO:0045055,GO:0046872,GO:0046903,GO:0046907,GO:0048284,GO:0048489,GO:0048791,GO:0050789,GO:0050794,GO:0051046,GO:0051049,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0060627,GO:0061024,GO:0061025,GO:0065007,GO:0065008,GO:0071840,GO:0071944,GO:0090174,GO:0097479,GO:0097480,GO:0098916,GO:0099003,GO:0099504,GO:0099536,GO:0099537,GO:0099643,GO:1903305,GO:1903530",-,ko:K19914,-,-,-,-,"ko00000,ko04131",-,-,-,C2
AlixG041954,SPU_022209,3.17e-170,478.0,"KOG1028@1|root,KOG1028@2759|Eukaryota,3A2C8@33154|Opisthokonta,3BQYV@33208|Metazoa,3D7E1@33213|Bilateria",2759|Eukaryota,TU,Protein kinase C conserved region 2 (CalB),-,-,-,"ko:K19906,ko:K19914",-,-,-,-,"ko00000,ko04131",-,-,-,C2
AlixG041965,6500.XP_005100690.1,1.01e-241,697.0,"KOG2232@1|root,KOG2232@2759|Eukaryota,38HV3@33154|Opisthokonta,3BDI5@33208|Metazoa,3CUYY@33213|Bilateria",33208|Metazoa,T,Neutral ceramidase,ASAH2,"GO:0000139,GO:0001505,GO:0001894,GO:0001895,GO:0003674,GO:0003824,GO:0005488,GO:0005509,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0005783,GO:0005789,GO:0005794,GO:0005886,GO:0005887,GO:0006066,GO:0006629,GO:0006643,GO:0006665,GO:0006670,GO:0006672,GO:0006807,GO:0006810,GO:0006836,GO:0006887,GO:0006906,GO:0006996,GO:0007154,GO:0007267,GO:0007268,GO:0007269,GO:0007275,GO:0007610,GO:0008150,GO:0008152,GO:0008270,GO:0008283,GO:0009056,GO:0009987,GO:0010033,GO:0012505,GO:0016020,GO:0016021,GO:0016042,GO:0016043,GO:0016050,GO:0016079,GO:0016192,GO:0016324,GO:0016787,GO:0016810,GO:0016811,GO:0017040,GO:0017156,GO:0019751,GO:0023052,GO:0023061,GO:0030149,GO:0031090,GO:0031224,GO:0031226,GO:0031629,GO:0031984,GO:0032501,GO:0032502,GO:0032940,GO:0034311,GO:0034641,GO:0035187,GO:0035188,GO:0042175,GO:0042221,GO:0042592,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043603,GO:0044237,GO:0044238,GO:0044242,GO:0044248,GO:0044255,GO:0044281,GO:0044422,GO:0044424,GO:0044425,GO:0044431,GO:0044432,GO:0044444,GO:0044446,GO:0044459,GO:0044464,GO:0045026,GO:0045055,GO:0045177,GO:0045494,GO:0046466,GO:0046514,GO:0046519,GO:0046872,GO:0046903,GO:0046907,GO:0046914,GO:0048284,GO:0048489,GO:0048856,GO:0048871,GO:0050896,GO:0051179,GO:0051234,GO:0051640,GO:0051641,GO:0051648,GO:0051649,GO:0051650,GO:0051656,GO:0060249,GO:0061024,GO:0061025,GO:0065007,GO:0065008,GO:0071684,GO:0071704,GO:0071840,GO:0071944,GO:0090174,GO:0097164,GO:0097479,GO:0097480,GO:0098588,GO:0098590,GO:0098791,GO:0098827,GO:0098916,GO:0099003,GO:0099500,GO:0099504,GO:0099536,GO:0099537,GO:0099643,GO:0140029,GO:1901564,GO:1901565,GO:1901575,GO:1901615",3.5.1.23,ko:K12349,"ko00600,ko01100,ko04071,map00600,map01100,map04071",M00099,R01494,"RC00064,RC00328","ko00000,ko00001,ko00002,ko01000",-,-,-,"Ceramidase_alk,Ceramidse_alk_C"
AlixG041967,SPU_022508,5.76e-104,313.0,"KOG1584@1|root,KOG1584@2759|Eukaryota,38FPD@33154|Opisthokonta,3BEBC@33208|Metazoa,3CTZN@33213|Bilateria",33208|Metazoa,L,Sulfotransferase,SULT1B1,"GO:0000103,GO:0000165,GO:0000166,GO:0000323,GO:0003008,GO:0003013,GO:0003674,GO:0003824,GO:0004027,GO:0004062,GO:0004304,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005829,GO:0006066,GO:0006067,GO:0006068,GO:0006082,GO:0006139,GO:0006163,GO:0006464,GO:0006468,GO:0006575,GO:0006576,GO:0006584,GO:0006629,GO:0006725,GO:0006753,GO:0006790,GO:0006793,GO:0006796,GO:0006805,GO:0006807,GO:0006950,GO:0006986,GO:0007154,GO:0007165,GO:0007166,GO:0007186,GO:0007212,GO:0007215,GO:0008015,GO:0008146,GO:0008150,GO:0008152,GO:0008202,GO:0008210,GO:0008217,GO:0009056,GO:0009058,GO:0009117,GO:0009150,GO:0009259,GO:0009308,GO:0009309,GO:0009410,GO:0009636,GO:0009712,GO:0009719,GO:0009725,GO:0009812,GO:0009888,GO:0009987,GO:0010033,GO:0010243,GO:0010817,GO:0010941,GO:0014070,GO:0014823,GO:0016310,GO:0016740,GO:0016782,GO:0016999,GO:0017001,GO:0017076,GO:0017085,GO:0017144,GO:0018958,GO:0018960,GO:0019336,GO:0019439,GO:0019538,GO:0019614,GO:0019637,GO:0019693,GO:0019722,GO:0019932,GO:0023014,GO:0023052,GO:0030154,GO:0030554,GO:0030855,GO:0030968,GO:0031960,GO:0032501,GO:0032502,GO:0032553,GO:0032555,GO:0032559,GO:0033554,GO:0033865,GO:0033875,GO:0033993,GO:0034032,GO:0034035,GO:0034308,GO:0034310,GO:0034620,GO:0034641,GO:0034754,GO:0034976,GO:0035235,GO:0035556,GO:0035690,GO:0035966,GO:0035967,GO:0036094,GO:0036211,GO:0036498,GO:0042221,GO:0042403,GO:0042417,GO:0042420,GO:0042424,GO:0042445,GO:0042493,GO:0042737,GO:0042802,GO:0042803,GO:0043167,GO:0043168,GO:0043170,GO:0043199,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044282,GO:0044424,GO:0044444,GO:0044464,GO:0046164,GO:0046483,GO:0046983,GO:0047685,GO:0047894,GO:0048519,GO:0048523,GO:0048545,GO:0048856,GO:0048869,GO:0050294,GO:0050427,GO:0050656,GO:0050789,GO:0050794,GO:0050896,GO:0051384,GO:0051716,GO:0051923,GO:0055086,GO:0060359,GO:0060429,GO:0060548,GO:0065007,GO:0065008,GO:0070371,GO:0070887,GO:0071242,GO:0071310,GO:0071407,GO:0071417,GO:0071466,GO:0071495,GO:0071704,GO:0071867,GO:0071868,GO:0071869,GO:0071870,GO:0072521,GO:0097159,GO:0097164,GO:0097367,GO:0097720,GO:0098989,GO:1901135,GO:1901214,GO:1901215,GO:1901265,GO:1901360,GO:1901361,GO:1901363,GO:1901564,GO:1901565,GO:1901566,GO:1901575,GO:1901576,GO:1901615,GO:1901616,GO:1901681,GO:1901698,GO:1901699,GO:1901700,GO:1901701,GO:1903350,GO:1903351","2.8.2.1,2.8.2.4","ko:K01014,ko:K01016,ko:K01025","ko00140,ko05204,map00140,map05204",-,"R01242,R02350","RC00007,RC00128","ko00000,ko00001,ko01000",-,-,-,Sulfotransfer_1
AlixG041968,10228.TriadP53246,3.17e-10,67.0,"2E0IS@1|root,2S7Z0@2759|Eukaryota",2759|Eukaryota,S,Scavenger receptor Cys-rich,-,-,-,-,-,-,-,-,-,-,-,-,SRCR
